Language,Task,Bias,Type,Mean,Stddev,Data
C#,Traversal,None,Root,361.118860390694,6.78372081381052,355 357.5 355.333333333333 354.25 357.2 357 358 357.875 362.666666666667 356 385.818181818182 372.833333333333 363.384615384615 372.357142857143 368.4 368.3125 359.588235294118 353.277777777778 360.789473684211 361 356.52380952381 359.227272727273 356.782608695652 360.083333333333 355.52 355.961538461538 364.666666666667 363.964285714286 358.275862068966 360.6 360.58064516129 367.03125
C#,Traversal,None,Finger,536.736411794404,5.93404430374714,528 530 526.666666666667 530 545.2 541.5 539 536.875 535.333333333333 531.4 532.818181818182 537.5 537.538461538462 535 540 539 541.705882352941 535.833333333333 533.368421052632 534.15 546.952380952381 551.681818181818 543.391304347826 532.375 533.28 536.576923076923
C#,Traversal,Bottom,Root,393.654524680238,5.01714969846238,390 401 389 386.25 391.8 393 391.857142857143 386.5 386.555555555556 392 395.272727272727 394.916666666667 392.692307692308 394.214285714286 391.6 389.875 389.588235294118 389.111111111111 395.105263157895 398.45 395.190476190476 389.954545454545 407.782608695652 403.416666666667 393.72 399.423076923077 397.888888888889 393.964285714286 398.206896551724 391.3
C#,Traversal,Bottom,Finger,573.922440951237,4.98149845871921,572 580 575 578 567.4 583.333333333333 576.571428571429 584.75 571.777777777778 568.9 582.636363636364 575 569.384615384615 569 571.466666666667 574.4375 574.705882352941 568.055555555556 574.578947368421 574.4 566.857142857143 571.863636363636 570.652173913044 570.25 577.04
C#,Traversal,Right,Root,115.819878973234,1.08996299262676,115 117 117.666666666667 117.75 117.8 117.166666666667 115.428571428571 115.5 115.444444444444 117.4 117.818181818182 116.333333333333 117 116.5 117.2 116.125 117.176470588235 115.777777777778 116.526315789474 117.35 116.571428571429 116.909090909091 115.95652173913 116.208333333333 117.08 115.846153846154 115.444444444444 116.071428571429 115.827586206897 116.333333333333 116.451612903226 116.3125 115.787878787879 114.441176470588 115 114.416666666667 113.972972972973 114.605263157895 114.051282051282 113.875 114.731707317073 114.690476190476 114.581395348837 114.409090909091 114.711111111111 115.826086956522 114.787234042553 114.729166666667 115.714285714286 115.8 114.549019607843 114.961538461538 116 114.851851851852 114.872727272727 115.571428571429
C#,Traversal,Right,Finger,49.0134534446645,1.36754841200282,60 48 48 48.5 48 49.1666666666667 50.2857142857143 48.5 48.2222222222222 48.2 49.3636363636364 49.1666666666667 49.4615384615385 48.4285714285714 48.4666666666667 48.875 51.2352941176471 50.3333333333333 48.5789473684211 52.25 48.7142857142857 49 49 48.7083333333333 48.52 48.7692307692308 49.5555555555556 48.6428571428571 48.6206896551724 48.6333333333333 48.4193548387097 48.75 48.3030303030303 48.6764705882353 48.3714285714286 48.2222222222222 48.4054054054054 48.8947368421053 48.9230769230769 48.85 50 48.4761904761905 48.5116279069767 49.0909090909091 48.7111111111111 49.7826086956522 49.7872340425532 49.0833333333333 48.5918367346939 48.9 49.4117647058824 48.9038461538462 48.6603773584906 48.6481481481481 48.3818181818182 48.5535714285714 48.6842105263158 48.551724137931 49.135593220339 48.5833333333333 48.5409836065574 49.4677419354839 49.3968253968254 48.515625 49.1846153846154 49.8636363636364 48.4776119402985 48.6323529411765 49.2753623188406 48.2857142857143 49.1408450704225 48.9166666666667 48.972602739726 48.9459459459459 48.5333333333333 48.4868421052632 48.7272727272727 48.4102564102564 48.5063291139241 48.525 48.8518518518519 48.8170731707317 49.5180722891566 48.3928571428571 48.4941176470588 48.8139534883721
C#,Traversal,BottomRight,Root,117.863750762362,0.882072086654796,121 119 116.666666666667 116.75 119.4 117.333333333333 119.571428571429 119.75 119.444444444444 118.8 116.909090909091 117.666666666667 116.615384615385 117.214285714286 117.933333333333 116.75 118.411764705882 116.888888888889 117.473684210526 117.85 118.666666666667 117.318181818182 117.521739130435 117.25 117.24 117.346153846154 117.37037037037 117.5 117.034482758621 116.833333333333 116.677419354839 117.40625 117.727272727273 117.823529411765 118.571428571429 117.527777777778 117.324324324324 118.131578947368 118.230769230769 117.675 118.121951219512 117.380952380952 118.023255813953 117.545454545455 118.2 118.521739130435 118.255319148936 118.333333333333 118.183673469388 118.34 118.294117647059 118.326923076923 117.867924528302 116.851851851852 117.654545454545
C#,Traversal,BottomRight,Finger,42.9534728166979,0.813002494493364,42 42.5 42.6666666666667 42 42.8 42.1666666666667 42.5714285714286 43.25 42.5555555555556 42.2 42.6363636363636 42.4166666666667 42.3846153846154 46.2142857142857 42.6 42.375 46.4705882352941 44.4444444444444 42.4210526315789 42.6 42.6666666666667 43.2727272727273 42.6521739130435 42.3333333333333 42.52 43.2307692307692 42.2962962962963 42.5714285714286 43.2413793103448 42.6666666666667 42.6451612903226 43.1875 42.3939393939394 42.3823529411765 43.0571428571429 42.3055555555556 42.8378378378378 42.8684210526316 43.5384615384615 43.35 42.5365853658537 42.5238095238095 42.6046511627907 43.0909090909091 42.6444444444444 42.695652173913 42.6170212765957 42.5833333333333 42.6122448979592 44.62 42.6862745098039 42.6730769230769 42.7924528301887 43.0185185185185 42.3636363636364 44.3571428571429 43.2456140350877 42.6724137931034 42.5762711864407 43.05 42.5081967213115 43.0483870967742 42.6666666666667 42.515625 42.5846153846154 42.6515151515151 42.5373134328358 42.8235294117647 42.9565217391304 43.8714285714286 43.7042253521127 42.4861111111111 42.8082191780822 44.3243243243243 42.9866666666667 42.8552631578947 45.9350649350649 43.8333333333333 42.6708860759494 43.925 42.641975308642 43.890243902439 42.4819277108434 42.5952380952381 42.8352941176471 43.8953488372093 43.7011494252874 42.4659090909091 42.4157303370786 42.4555555555556 42.4395604395604
C#,Insertion,None,Root,3504.60134920635,89.5938184207747,3406 3381 3560.33333333333 3687.25 3547.8 3530.5 3419.28571428571 3496.5 3529.44444444444 3487.9
C#,Insertion,None,Finger,3015.65977633478,109.262570474225,2747 3202 2969 3040.75 3105.4 2997.83333333333 3038.57142857143 3031.625 3000.77777777778 3031.3 3008
Haskell,Traversal,None,State,1641.85,15.86,1635.14 1638.20 1669.53 1667.93 1646.21 1657.23 1628.05 1641.92 1623.81 1645.13 1640.85 1624.53 1650.25 1617.09
Haskell,Traversal,None,ST,1649.62,8.73,1626.93 1655.22 1649.75 1663.66 1656.07 1643.53 1656.07 1654.20 1647.17 1650.79 1655.85 1644.40 1645.05 1646.03
Haskell,Traversal,None,Indices,1285.04,15.14,1255.78 1284.03 1301.18 1281.45 1309.28 1288.75 1275.46 1264.06 1307.66 1303.77 1276.41 1282.41 1285.68 1272.91 1292.37 1279.49
Haskell,Traversal,None,Index,1272.65,24.84,1235.16 1213.90 1250.00 1271.75 1262.52 1283.72 1289.89 1265.69 1287.53 1304.94 1258.12 1264.53 1294.17 1293.78 1293.67 1293.06
Haskell,Traversal,None,Precomputed,1247.00,28.40,1287.48 1262.32 1211.90 1185.82 1206.33 1273.23 1259.43 1218.41 1241.20 1264.27 1228.78 1259.74 1264.07 1257.54 1265.73 1265.75
Haskell,Traversal,None,Zipper,1532.65,13.72,1499.46 1532.84 1512.99 1519.08 1529.25 1540.78 1533.88 1534.25 1541.64 1537.23 1541.90 1539.96 1542.15 1551.66
Haskell,Traversal,Bottom,State,1813.38,21.73,1873.16 1782.88 1813.48 1824.15 1827.95 1822.13 1802.83 1797.16 1805.81 1800.96 1800.68 1812.89 1809.88
